episode,steps_done,timestep,total_reward,loss
0,20,19,0.0,"tensor(0.1157, grad_fn=<SmoothL1LossBackward0>)"
1,64,43,0.0,"tensor(0.0501, grad_fn=<SmoothL1LossBackward0>)"
2,92,27,10.0,"tensor(0.3750, grad_fn=<SmoothL1LossBackward0>)"
3,97,4,0.0,"tensor(1.5535, grad_fn=<SmoothL1LossBackward0>)"
4,156,58,40.0,"tensor(1.5636, grad_fn=<SmoothL1LossBackward0>)"
5,165,8,10.0,"tensor(1.4219, grad_fn=<SmoothL1LossBackward0>)"
6,170,4,0.0,"tensor(0.0571, grad_fn=<SmoothL1LossBackward0>)"
7,176,5,10.0,"tensor(2.7203, grad_fn=<SmoothL1LossBackward0>)"
8,257,80,10.0,"tensor(0.0995, grad_fn=<SmoothL1LossBackward0>)"
9,283,25,10.0,"tensor(0.0534, grad_fn=<SmoothL1LossBackward0>)"
10,300,16,10.0,"tensor(0.0506, grad_fn=<SmoothL1LossBackward0>)"
11,342,41,0.0,"tensor(2.9923, grad_fn=<SmoothL1LossBackward0>)"
12,356,13,0.0,"tensor(0.3272, grad_fn=<SmoothL1LossBackward0>)"
13,395,38,20.0,"tensor(0.0487, grad_fn=<SmoothL1LossBackward0>)"
14,653,257,70.0,"tensor(0.0402, grad_fn=<SmoothL1LossBackward0>)"
15,675,21,0.0,"tensor(0.0442, grad_fn=<SmoothL1LossBackward0>)"
16,720,44,20.0,"tensor(0.0491, grad_fn=<SmoothL1LossBackward0>)"
17,740,19,10.0,"tensor(0.1343, grad_fn=<SmoothL1LossBackward0>)"
18,751,10,0.0,"tensor(0.0522, grad_fn=<SmoothL1LossBackward0>)"
19,788,36,10.0,"tensor(0.0556, grad_fn=<SmoothL1LossBackward0>)"
20,1238,449,90.0,"tensor(0.3517, grad_fn=<SmoothL1LossBackward0>)"
21,1282,43,10.0,"tensor(0.2002, grad_fn=<SmoothL1LossBackward0>)"
22,1726,443,40.0,"tensor(1.6301, grad_fn=<SmoothL1LossBackward0>)"
23,1732,5,0.0,"tensor(0.2063, grad_fn=<SmoothL1LossBackward0>)"
24,1733,0,0.0,"tensor(0.0780, grad_fn=<SmoothL1LossBackward0>)"
25,1749,15,0.0,"tensor(1.4101, grad_fn=<SmoothL1LossBackward0>)"
26,1775,25,0.0,"tensor(0.0774, grad_fn=<SmoothL1LossBackward0>)"
27,1794,18,0.0,"tensor(0.1636, grad_fn=<SmoothL1LossBackward0>)"
28,1797,2,0.0,"tensor(1.3822, grad_fn=<SmoothL1LossBackward0>)"
29,1903,105,40.0,"tensor(0.0279, grad_fn=<SmoothL1LossBackward0>)"
30,1912,8,0.0,"tensor(0.0276, grad_fn=<SmoothL1LossBackward0>)"
31,1924,11,0.0,"tensor(0.0213, grad_fn=<SmoothL1LossBackward0>)"
32,1933,8,0.0,"tensor(0.0310, grad_fn=<SmoothL1LossBackward0>)"
33,2071,137,40.0,"tensor(0.0357, grad_fn=<SmoothL1LossBackward0>)"
34,2093,21,10.0,"tensor(0.2928, grad_fn=<SmoothL1LossBackward0>)"
35,2514,420,20.0,"tensor(0.7863, grad_fn=<SmoothL1LossBackward0>)"
36,2523,8,0.0,"tensor(0.0230, grad_fn=<SmoothL1LossBackward0>)"
37,2566,42,0.0,"tensor(0.2704, grad_fn=<SmoothL1LossBackward0>)"
38,2639,72,20.0,"tensor(0.0278, grad_fn=<SmoothL1LossBackward0>)"
39,2774,134,70.0,"tensor(0.0298, grad_fn=<SmoothL1LossBackward0>)"
40,2788,13,0.0,"tensor(0.0228, grad_fn=<SmoothL1LossBackward0>)"
41,2802,13,0.0,"tensor(0.2728, grad_fn=<SmoothL1LossBackward0>)"
42,2829,26,0.0,"tensor(0.0270, grad_fn=<SmoothL1LossBackward0>)"
43,2857,27,0.0,"tensor(0.0272, grad_fn=<SmoothL1LossBackward0>)"
44,3857,999,60.0,"tensor(1.7663, grad_fn=<SmoothL1LossBackward0>)"
45,4857,999,0.0,"tensor(0.0150, grad_fn=<SmoothL1LossBackward0>)"
46,5857,999,0.0,"tensor(0.0167, grad_fn=<SmoothL1LossBackward0>)"
47,6857,999,0.0,"tensor(0.0213, grad_fn=<SmoothL1LossBackward0>)"
48,7857,999,0.0,"tensor(0.0190, grad_fn=<SmoothL1LossBackward0>)"
49,8857,999,0.0,"tensor(0.0204, grad_fn=<SmoothL1LossBackward0>)"
50,9857,999,0.0,"tensor(0.3092, grad_fn=<SmoothL1LossBackward0>)"
51,10182,324,20.0,"tensor(0.1717, grad_fn=<SmoothL1LossBackward0>)"
52,10283,100,10.0,"tensor(0.0167, grad_fn=<SmoothL1LossBackward0>)"
53,10294,10,0.0,"tensor(0.0122, grad_fn=<SmoothL1LossBackward0>)"
54,10300,5,0.0,"tensor(0.3131, grad_fn=<SmoothL1LossBackward0>)"
