episode,steps_done,timestep,total_reward,loss
0,21,20,0.0,"tensor(0.2820, grad_fn=<SmoothL1LossBackward0>)"
1,62,40,40.0,"tensor(0.2886, grad_fn=<SmoothL1LossBackward0>)"
2,66,3,0.0,"tensor(0.2502, grad_fn=<SmoothL1LossBackward0>)"
3,72,5,0.0,"tensor(1.3804, grad_fn=<SmoothL1LossBackward0>)"
4,88,15,10.0,"tensor(0.1490, grad_fn=<SmoothL1LossBackward0>)"
5,192,103,30.0,"tensor(2.2934, grad_fn=<SmoothL1LossBackward0>)"
6,608,415,30.0,"tensor(0.2583, grad_fn=<SmoothL1LossBackward0>)"
7,616,7,0.0,"tensor(0.4140, grad_fn=<SmoothL1LossBackward0>)"
8,648,31,10.0,"tensor(1.0404, grad_fn=<SmoothL1LossBackward0>)"
9,718,69,40.0,"tensor(0.2003, grad_fn=<SmoothL1LossBackward0>)"
10,802,83,20.0,"tensor(0.1877, grad_fn=<SmoothL1LossBackward0>)"
11,831,28,10.0,"tensor(1.0792, grad_fn=<SmoothL1LossBackward0>)"
12,893,61,40.0,"tensor(0.4213, grad_fn=<SmoothL1LossBackward0>)"
13,944,50,20.0,"tensor(1.1315, grad_fn=<SmoothL1LossBackward0>)"
14,950,5,0.0,"tensor(0.0738, grad_fn=<SmoothL1LossBackward0>)"
15,1076,125,10.0,"tensor(1.0873, grad_fn=<SmoothL1LossBackward0>)"
16,1186,109,40.0,"tensor(0.2056, grad_fn=<SmoothL1LossBackward0>)"
17,1194,7,0.0,"tensor(0.1912, grad_fn=<SmoothL1LossBackward0>)"
18,1247,52,50.0,"tensor(0.9832, grad_fn=<SmoothL1LossBackward0>)"
19,1255,7,0.0,"tensor(0.1039, grad_fn=<SmoothL1LossBackward0>)"
20,1354,98,30.0,"tensor(0.0805, grad_fn=<SmoothL1LossBackward0>)"
21,1387,32,20.0,"tensor(0.9742, grad_fn=<SmoothL1LossBackward0>)"
22,1480,92,30.0,"tensor(0.0855, grad_fn=<SmoothL1LossBackward0>)"
23,1524,43,20.0,"tensor(0.1129, grad_fn=<SmoothL1LossBackward0>)"
24,1545,20,10.0,"tensor(0.0621, grad_fn=<SmoothL1LossBackward0>)"
25,1563,17,20.0,"tensor(0.2719, grad_fn=<SmoothL1LossBackward0>)"
26,1569,5,0.0,"tensor(0.2338, grad_fn=<SmoothL1LossBackward0>)"
27,1674,104,20.0,"tensor(2.2961, grad_fn=<SmoothL1LossBackward0>)"
28,1724,49,50.0,"tensor(1.0855, grad_fn=<SmoothL1LossBackward0>)"
29,1783,58,30.0,"tensor(0.9885, grad_fn=<SmoothL1LossBackward0>)"
30,1797,13,0.0,"tensor(1.2081, grad_fn=<SmoothL1LossBackward0>)"
31,1802,4,0.0,"tensor(0.1119, grad_fn=<SmoothL1LossBackward0>)"
32,1823,20,10.0,"tensor(0.1363, grad_fn=<SmoothL1LossBackward0>)"
33,1832,8,0.0,"tensor(0.0516, grad_fn=<SmoothL1LossBackward0>)"
34,1843,10,0.0,"tensor(0.2142, grad_fn=<SmoothL1LossBackward0>)"
35,1848,4,0.0,"tensor(0.0889, grad_fn=<SmoothL1LossBackward0>)"
36,1902,53,20.0,"tensor(0.2441, grad_fn=<SmoothL1LossBackward0>)"
37,1909,6,0.0,"tensor(0.0419, grad_fn=<SmoothL1LossBackward0>)"
38,1954,44,20.0,"tensor(0.6402, grad_fn=<SmoothL1LossBackward0>)"
39,1968,13,10.0,"tensor(0.0287, grad_fn=<SmoothL1LossBackward0>)"
40,1995,26,10.0,"tensor(1.0271, grad_fn=<SmoothL1LossBackward0>)"
41,2001,5,0.0,"tensor(0.1889, grad_fn=<SmoothL1LossBackward0>)"
42,2014,12,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
43,2152,137,50.0,"tensor(1.8718, grad_fn=<SmoothL1LossBackward0>)"
44,2278,125,50.0,"tensor(0.2594, grad_fn=<SmoothL1LossBackward0>)"
45,2368,89,30.0,"tensor(0.3306, grad_fn=<SmoothL1LossBackward0>)"
46,2375,6,0.0,"tensor(0.0343, grad_fn=<SmoothL1LossBackward0>)"
47,2411,35,20.0,"tensor(0.0817, grad_fn=<SmoothL1LossBackward0>)"
48,2467,55,30.0,"tensor(0.5161, grad_fn=<SmoothL1LossBackward0>)"
49,2649,181,50.0,"tensor(0.4850, grad_fn=<SmoothL1LossBackward0>)"
50,2671,21,10.0,"tensor(1.3498, grad_fn=<SmoothL1LossBackward0>)"
51,2678,6,0.0,"tensor(1.0577, grad_fn=<SmoothL1LossBackward0>)"
52,2950,271,110.0,"tensor(0.1740, grad_fn=<SmoothL1LossBackward0>)"
53,2978,27,20.0,"tensor(0.1126, grad_fn=<SmoothL1LossBackward0>)"
54,3253,274,45.0,"tensor(0.0365, grad_fn=<SmoothL1LossBackward0>)"
55,3317,63,75.0,"tensor(0.3943, grad_fn=<SmoothL1LossBackward0>)"
56,3390,72,30.0,"tensor(0.0450, grad_fn=<SmoothL1LossBackward0>)"
57,3402,11,0.0,"tensor(0.2028, grad_fn=<SmoothL1LossBackward0>)"
58,3512,109,80.0,"tensor(0.0480, grad_fn=<SmoothL1LossBackward0>)"
59,3590,77,40.0,"tensor(0.9726, grad_fn=<SmoothL1LossBackward0>)"
60,3595,4,0.0,"tensor(0.5578, grad_fn=<SmoothL1LossBackward0>)"
61,3630,34,20.0,"tensor(0.0538, grad_fn=<SmoothL1LossBackward0>)"
62,3639,8,0.0,"tensor(0.0585, grad_fn=<SmoothL1LossBackward0>)"
63,3726,86,50.0,"tensor(0.9561, grad_fn=<SmoothL1LossBackward0>)"
64,3745,18,0.0,"tensor(1.2155, grad_fn=<SmoothL1LossBackward0>)"
65,3966,220,120.0,"tensor(0.9968, grad_fn=<SmoothL1LossBackward0>)"
66,3995,28,10.0,"tensor(0.0226, grad_fn=<SmoothL1LossBackward0>)"
67,4000,4,0.0,"tensor(1.1393, grad_fn=<SmoothL1LossBackward0>)"
68,4004,3,0.0,"tensor(0.9922, grad_fn=<SmoothL1LossBackward0>)"
69,4015,10,10.0,"tensor(0.1079, grad_fn=<SmoothL1LossBackward0>)"
70,4081,65,40.0,"tensor(0.2758, grad_fn=<SmoothL1LossBackward0>)"
71,4088,6,0.0,"tensor(0.1155, grad_fn=<SmoothL1LossBackward0>)"
72,4096,7,0.0,"tensor(0.0634, grad_fn=<SmoothL1LossBackward0>)"
73,4101,4,0.0,"tensor(1.2135, grad_fn=<SmoothL1LossBackward0>)"
74,4131,29,10.0,"tensor(0.1642, grad_fn=<SmoothL1LossBackward0>)"
75,4137,5,0.0,"tensor(0.1540, grad_fn=<SmoothL1LossBackward0>)"
76,4153,15,0.0,"tensor(0.1098, grad_fn=<SmoothL1LossBackward0>)"
77,4188,34,20.0,"tensor(0.1759, grad_fn=<SmoothL1LossBackward0>)"
78,4196,7,0.0,"tensor(0.0578, grad_fn=<SmoothL1LossBackward0>)"
79,4212,15,0.0,"tensor(1.1585, grad_fn=<SmoothL1LossBackward0>)"
80,4217,4,0.0,"tensor(0.0223, grad_fn=<SmoothL1LossBackward0>)"
81,4223,5,0.0,"tensor(0.3311, grad_fn=<SmoothL1LossBackward0>)"
82,4238,14,10.0,"tensor(0.3125, grad_fn=<SmoothL1LossBackward0>)"
83,4247,8,0.0,"tensor(1.2937, grad_fn=<SmoothL1LossBackward0>)"
84,4253,5,0.0,"tensor(0.3808, grad_fn=<SmoothL1LossBackward0>)"
85,4257,3,0.0,"tensor(0.0735, grad_fn=<SmoothL1LossBackward0>)"
86,4309,51,30.0,"tensor(0.0184, grad_fn=<SmoothL1LossBackward0>)"
87,4385,75,20.0,"tensor(0.5441, grad_fn=<SmoothL1LossBackward0>)"
88,4531,145,70.0,"tensor(0.1860, grad_fn=<SmoothL1LossBackward0>)"
89,4540,8,0.0,"tensor(1.1567, grad_fn=<SmoothL1LossBackward0>)"
90,4583,42,10.0,"tensor(2.2315, grad_fn=<SmoothL1LossBackward0>)"
91,5017,433,60.0,"tensor(0.2668, grad_fn=<SmoothL1LossBackward0>)"
92,5060,42,10.0,"tensor(1.4415, grad_fn=<SmoothL1LossBackward0>)"
93,5110,49,20.0,"tensor(0.0362, grad_fn=<SmoothL1LossBackward0>)"
94,5170,59,20.0,"tensor(1.0314, grad_fn=<SmoothL1LossBackward0>)"
95,5186,15,10.0,"tensor(2.3245, grad_fn=<SmoothL1LossBackward0>)"
96,5344,157,80.0,"tensor(0.0909, grad_fn=<SmoothL1LossBackward0>)"
97,5349,4,0.0,"tensor(1.1100, grad_fn=<SmoothL1LossBackward0>)"
98,5372,22,0.0,"tensor(1.2906, grad_fn=<SmoothL1LossBackward0>)"
99,5389,16,10.0,"tensor(0.0702, grad_fn=<SmoothL1LossBackward0>)"
100,5552,162,80.0,"tensor(1.8253, grad_fn=<SmoothL1LossBackward0>)"
101,5631,78,20.0,"tensor(1.1667, grad_fn=<SmoothL1LossBackward0>)"
102,5654,22,10.0,"tensor(0.3725, grad_fn=<SmoothL1LossBackward0>)"
103,5704,49,20.0,"tensor(3.9466, grad_fn=<SmoothL1LossBackward0>)"
104,5713,8,0.0,"tensor(0.2190, grad_fn=<SmoothL1LossBackward0>)"
105,5766,52,10.0,"tensor(0.1596, grad_fn=<SmoothL1LossBackward0>)"
106,5786,19,10.0,"tensor(1.0812, grad_fn=<SmoothL1LossBackward0>)"
107,5824,37,0.0,"tensor(0.6024, grad_fn=<SmoothL1LossBackward0>)"
108,5850,25,0.0,"tensor(1.0974, grad_fn=<SmoothL1LossBackward0>)"
109,5855,4,0.0,"tensor(0.5100, grad_fn=<SmoothL1LossBackward0>)"
110,5902,46,40.0,"tensor(0.1416, grad_fn=<SmoothL1LossBackward0>)"
111,5911,8,10.0,"tensor(0.1875, grad_fn=<SmoothL1LossBackward0>)"
112,5917,5,10.0,"tensor(0.0456, grad_fn=<SmoothL1LossBackward0>)"
113,5921,3,0.0,"tensor(0.1295, grad_fn=<SmoothL1LossBackward0>)"
114,5945,23,0.0,"tensor(0.0632, grad_fn=<SmoothL1LossBackward0>)"
115,5962,16,0.0,"tensor(0.1212, grad_fn=<SmoothL1LossBackward0>)"
116,5981,18,0.0,"tensor(0.1326, grad_fn=<SmoothL1LossBackward0>)"
117,6013,31,20.0,"tensor(0.1827, grad_fn=<SmoothL1LossBackward0>)"
118,6033,19,0.0,"tensor(1.0217, grad_fn=<SmoothL1LossBackward0>)"
119,6070,36,0.0,"tensor(0.3091, grad_fn=<SmoothL1LossBackward0>)"
120,6098,27,10.0,"tensor(0.1347, grad_fn=<SmoothL1LossBackward0>)"
