episode,steps_done,timestep,total_reward,loss
0,97,96,60.0,"tensor(0.7186, grad_fn=<SmoothL1LossBackward0>)"
1,108,10,0.0,"tensor(0.1918, grad_fn=<SmoothL1LossBackward0>)"
2,117,8,0.0,"tensor(0.6665, grad_fn=<SmoothL1LossBackward0>)"
3,134,16,0.0,"tensor(0.2861, grad_fn=<SmoothL1LossBackward0>)"
4,176,41,20.0,"tensor(0.6666, grad_fn=<SmoothL1LossBackward0>)"
5,184,7,0.0,"tensor(0.3801, grad_fn=<SmoothL1LossBackward0>)"
6,187,2,0.0,"tensor(0.9492, grad_fn=<SmoothL1LossBackward0>)"
7,192,4,10.0,"tensor(0.3797, grad_fn=<SmoothL1LossBackward0>)"
8,230,37,10.0,"tensor(0.2847, grad_fn=<SmoothL1LossBackward0>)"
9,238,7,0.0,"tensor(0.1905, grad_fn=<SmoothL1LossBackward0>)"
10,246,7,10.0,"tensor(0.0956, grad_fn=<SmoothL1LossBackward0>)"
11,290,43,30.0,"tensor(0.2848, grad_fn=<SmoothL1LossBackward0>)"
12,322,31,0.0,"tensor(0.2850, grad_fn=<SmoothL1LossBackward0>)"
13,378,55,40.0,"tensor(0.3794, grad_fn=<SmoothL1LossBackward0>)"
14,430,51,20.0,"tensor(0.1905, grad_fn=<SmoothL1LossBackward0>)"
15,453,22,0.0,"tensor(0.4738, grad_fn=<SmoothL1LossBackward0>)"
16,486,32,20.0,"tensor(0.0954, grad_fn=<SmoothL1LossBackward0>)"
17,497,10,0.0,"tensor(0.2845, grad_fn=<SmoothL1LossBackward0>)"
18,510,12,0.0,"tensor(0.1898, grad_fn=<SmoothL1LossBackward0>)"
19,514,3,0.0,"tensor(0.2845, grad_fn=<SmoothL1LossBackward0>)"
20,548,33,0.0,"tensor(0.0956, grad_fn=<SmoothL1LossBackward0>)"
21,580,31,20.0,"tensor(0.5240, grad_fn=<SmoothL1LossBackward0>)"
22,585,4,0.0,"tensor(0.2845, grad_fn=<SmoothL1LossBackward0>)"
