episode,steps_done,timestep,total_reward,loss
0,62,61,20.0,"tensor(0.0022, grad_fn=<SmoothL1LossBackward0>)"
1,76,13,20.0,"tensor(0.8965, grad_fn=<SmoothL1LossBackward0>)"
2,123,46,20.0,"tensor(1.0541, grad_fn=<SmoothL1LossBackward0>)"
3,131,7,0.0,"tensor(1.1914, grad_fn=<SmoothL1LossBackward0>)"
4,143,11,10.0,"tensor(0.8954, grad_fn=<SmoothL1LossBackward0>)"
5,197,53,60.0,"tensor(0.2982, grad_fn=<SmoothL1LossBackward0>)"
6,240,42,10.0,"tensor(0.4530, grad_fn=<SmoothL1LossBackward0>)"
7,326,85,40.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
8,493,166,40.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
9,584,90,60.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
10,671,86,40.0,"tensor(0.5952, grad_fn=<SmoothL1LossBackward0>)"
11,888,216,55.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
12,899,10,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
13,958,58,30.0,"tensor(0.5945, grad_fn=<SmoothL1LossBackward0>)"
14,963,4,0.0,"tensor(0.2972, grad_fn=<SmoothL1LossBackward0>)"
15,971,7,10.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
16,1038,66,30.0,"tensor(0.8885, grad_fn=<SmoothL1LossBackward0>)"
17,1043,4,0.0,"tensor(1.1834, grad_fn=<SmoothL1LossBackward0>)"
18,1049,5,10.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
19,1064,14,10.0,"tensor(0.8883, grad_fn=<SmoothL1LossBackward0>)"
20,1094,29,10.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
21,1154,59,50.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
22,1291,136,30.0,"tensor(0.8877, grad_fn=<SmoothL1LossBackward0>)"
23,1320,28,20.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
24,1362,41,20.0,"tensor(0.0020, grad_fn=<SmoothL1LossBackward0>)"
25,1372,9,0.0,"tensor(0.0021, grad_fn=<SmoothL1LossBackward0>)"
26,1405,32,10.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
27,1427,21,0.0,"tensor(0.0017, grad_fn=<SmoothL1LossBackward0>)"
28,1483,55,40.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
29,1561,77,50.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
30,1569,7,0.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
31,1572,2,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
32,1602,29,10.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
33,1610,7,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
34,1691,80,30.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
35,1723,31,10.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
36,1765,41,10.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
37,1773,7,0.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
38,1788,14,10.0,"tensor(0.8880, grad_fn=<SmoothL1LossBackward0>)"
39,1816,27,10.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
40,1881,64,60.0,"tensor(0.8888, grad_fn=<SmoothL1LossBackward0>)"
41,2072,190,50.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
42,2073,0,0.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
43,2088,14,0.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
