episode,steps_done,timestep,total_reward,loss
0,81,80,40.0,"tensor(0.1512, grad_fn=<SmoothL1LossBackward0>)"
1,94,12,10.0,"tensor(0.7458, grad_fn=<SmoothL1LossBackward0>)"
2,275,180,30.0,"tensor(0.7436, grad_fn=<SmoothL1LossBackward0>)"
3,308,32,30.0,"tensor(0.2978, grad_fn=<SmoothL1LossBackward0>)"
4,319,10,0.0,"tensor(0.2978, grad_fn=<SmoothL1LossBackward0>)"
5,333,13,10.0,"tensor(0.5248, grad_fn=<SmoothL1LossBackward0>)"
6,399,65,0.0,"tensor(0.5230, grad_fn=<SmoothL1LossBackward0>)"
7,433,33,20.0,"tensor(0.1490, grad_fn=<SmoothL1LossBackward0>)"
8,451,17,10.0,"tensor(0.4453, grad_fn=<SmoothL1LossBackward0>)"
9,468,16,10.0,"tensor(0.1491, grad_fn=<SmoothL1LossBackward0>)"
10,531,62,20.0,"tensor(0.4446, grad_fn=<SmoothL1LossBackward0>)"
11,558,26,0.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
12,685,126,60.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
13,819,133,30.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
14,824,4,0.0,"tensor(0.4442, grad_fn=<SmoothL1LossBackward0>)"
15,829,4,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
16,884,54,20.0,"tensor(0.6708, grad_fn=<SmoothL1LossBackward0>)"
17,1015,130,90.0,"tensor(0.4446, grad_fn=<SmoothL1LossBackward0>)"
18,1036,20,10.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
19,1048,11,0.0,"tensor(0.9661, grad_fn=<SmoothL1LossBackward0>)"
20,1068,19,10.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
21,1076,7,10.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
22,1123,46,10.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
23,1180,56,30.0,"tensor(0.6783, grad_fn=<SmoothL1LossBackward0>)"
24,1212,31,30.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
25,1388,175,60.0,"tensor(0.5923, grad_fn=<SmoothL1LossBackward0>)"
26,1427,38,20.0,"tensor(0.5224, grad_fn=<SmoothL1LossBackward0>)"
27,1442,14,0.0,"tensor(0.4441, grad_fn=<SmoothL1LossBackward0>)"
28,1543,100,60.0,"tensor(0.8186, grad_fn=<SmoothL1LossBackward0>)"
29,1881,337,100.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
30,1918,36,45.0,"tensor(0.4440, grad_fn=<SmoothL1LossBackward0>)"
31,1950,31,45.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
32,2066,115,45.0,"tensor(0.4450, grad_fn=<SmoothL1LossBackward0>)"
33,2162,95,60.0,"tensor(0.5234, grad_fn=<SmoothL1LossBackward0>)"
34,2170,7,0.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
35,2230,59,40.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
36,2234,3,0.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
37,2284,49,20.0,"tensor(0.7490, grad_fn=<SmoothL1LossBackward0>)"
38,2377,92,40.0,"tensor(0.7393, grad_fn=<SmoothL1LossBackward0>)"
39,2990,612,20.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
40,3010,19,0.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
41,3079,68,50.0,"tensor(0.4440, grad_fn=<SmoothL1LossBackward0>)"
42,3084,4,0.0,"tensor(0.5914, grad_fn=<SmoothL1LossBackward0>)"
43,3205,120,40.0,"tensor(0.1490, grad_fn=<SmoothL1LossBackward0>)"
44,3241,35,10.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
45,3311,69,30.0,"tensor(0.1491, grad_fn=<SmoothL1LossBackward0>)"
46,3316,4,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
47,3412,95,40.0,"tensor(0.1491, grad_fn=<SmoothL1LossBackward0>)"
