episode,steps_done,timestep,total_reward,loss
0,22,21,0.0,"tensor(0.2974, grad_fn=<SmoothL1LossBackward0>)"
1,50,27,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
2,102,51,20.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
3,229,126,50.0,"tensor(0.2977, grad_fn=<SmoothL1LossBackward0>)"
4,246,16,0.0,"tensor(0.5930, grad_fn=<SmoothL1LossBackward0>)"
5,271,24,20.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
6,368,96,60.0,"tensor(0.8870, grad_fn=<SmoothL1LossBackward0>)"
7,374,5,0.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
8,400,25,10.0,"tensor(0.2953, grad_fn=<SmoothL1LossBackward0>)"
9,426,25,30.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
10,431,4,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
11,446,14,10.0,"tensor(0.5908, grad_fn=<SmoothL1LossBackward0>)"
12,506,59,40.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
13,601,94,60.0,"tensor(0.5891, grad_fn=<SmoothL1LossBackward0>)"
14,631,29,20.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
15,749,117,65.0,"tensor(0.5889, grad_fn=<SmoothL1LossBackward0>)"
16,785,35,20.0,"tensor(0.5923, grad_fn=<SmoothL1LossBackward0>)"
17,791,5,0.0,"tensor(0.5891, grad_fn=<SmoothL1LossBackward0>)"
18,796,4,0.0,"tensor(0.5905, grad_fn=<SmoothL1LossBackward0>)"
19,808,11,0.0,"tensor(0.8823, grad_fn=<SmoothL1LossBackward0>)"
20,833,24,0.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
21,915,81,20.0,"tensor(0.5881, grad_fn=<SmoothL1LossBackward0>)"
22,958,42,20.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
23,963,4,0.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
24,989,25,20.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
25,1104,114,50.0,"tensor(0.0034, grad_fn=<SmoothL1LossBackward0>)"
26,1153,48,40.0,"tensor(0.2950, grad_fn=<SmoothL1LossBackward0>)"
27,1290,136,40.0,"tensor(0.2939, grad_fn=<SmoothL1LossBackward0>)"
28,1336,45,10.0,"tensor(0.5898, grad_fn=<SmoothL1LossBackward0>)"
29,1417,80,30.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
30,1467,49,10.0,"tensor(0.0026, grad_fn=<SmoothL1LossBackward0>)"
31,1477,9,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
32,1503,25,10.0,"tensor(0.2953, grad_fn=<SmoothL1LossBackward0>)"
33,1523,19,20.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
34,1735,211,70.0,"tensor(0.0017, grad_fn=<SmoothL1LossBackward0>)"
35,1742,6,0.0,"tensor(0.2952, grad_fn=<SmoothL1LossBackward0>)"
36,1770,27,30.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
37,1778,7,0.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
38,1788,9,0.0,"tensor(0.5909, grad_fn=<SmoothL1LossBackward0>)"
39,1797,8,0.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
40,1819,21,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
41,1839,19,0.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
42,1846,6,10.0,"tensor(0.2957, grad_fn=<SmoothL1LossBackward0>)"
43,1921,74,40.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
44,1954,32,10.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
45,2017,62,10.0,"tensor(0.8868, grad_fn=<SmoothL1LossBackward0>)"
46,2041,23,0.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
47,2083,41,10.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
48,2180,96,40.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
49,2195,14,10.0,"tensor(0.5907, grad_fn=<SmoothL1LossBackward0>)"
50,2201,5,0.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
51,2226,24,0.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
52,2241,14,0.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
53,2257,15,20.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
54,2284,26,10.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
55,2289,4,0.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
56,2305,15,0.0,"tensor(0.8856, grad_fn=<SmoothL1LossBackward0>)"
57,2376,70,50.0,"tensor(0.5903, grad_fn=<SmoothL1LossBackward0>)"
58,2381,4,0.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
59,2455,73,30.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
