episode,steps_done,timestep,total_reward,loss
0,17,16,0.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
1,67,49,20.0,"tensor(0.2992, grad_fn=<SmoothL1LossBackward0>)"
2,258,190,110.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
3,410,151,25.0,"tensor(0.2976, grad_fn=<SmoothL1LossBackward0>)"
4,466,55,20.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
5,471,4,0.0,"tensor(0.8898, grad_fn=<SmoothL1LossBackward0>)"
6,585,113,70.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
7,602,16,10.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
8,641,38,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
9,646,4,0.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
10,651,4,0.0,"tensor(0.5905, grad_fn=<SmoothL1LossBackward0>)"
11,661,9,0.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
12,721,59,30.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
13,764,42,20.0,"tensor(0.2948, grad_fn=<SmoothL1LossBackward0>)"
14,960,195,60.0,"tensor(0.2977, grad_fn=<SmoothL1LossBackward0>)"
15,1036,75,20.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
16,1047,10,0.0,"tensor(0.8844, grad_fn=<SmoothL1LossBackward0>)"
17,1128,80,40.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
18,1200,71,40.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
19,1253,52,10.0,"tensor(0.2984, grad_fn=<SmoothL1LossBackward0>)"
20,1359,105,50.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
21,1439,79,50.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
22,1451,11,0.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
23,1514,62,40.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
24,1536,21,10.0,"tensor(0.2977, grad_fn=<SmoothL1LossBackward0>)"
25,1549,12,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
26,1609,59,40.0,"tensor(0.8876, grad_fn=<SmoothL1LossBackward0>)"
27,2263,653,20.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
28,2349,85,50.0,"tensor(0.5905, grad_fn=<SmoothL1LossBackward0>)"
29,2358,8,0.0,"tensor(0.8868, grad_fn=<SmoothL1LossBackward0>)"
30,2363,4,0.0,"tensor(0.8859, grad_fn=<SmoothL1LossBackward0>)"
31,2374,10,10.0,"tensor(0.2952, grad_fn=<SmoothL1LossBackward0>)"
32,2427,52,30.0,"tensor(0.2976, grad_fn=<SmoothL1LossBackward0>)"
33,2496,68,10.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
34,2502,5,10.0,"tensor(0.8855, grad_fn=<SmoothL1LossBackward0>)"
35,2510,7,0.0,"tensor(0.5904, grad_fn=<SmoothL1LossBackward0>)"
36,2614,103,50.0,"tensor(0.2957, grad_fn=<SmoothL1LossBackward0>)"
37,2618,3,0.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
38,2723,104,80.0,"tensor(0.5905, grad_fn=<SmoothL1LossBackward0>)"
39,2729,5,0.0,"tensor(0.8851, grad_fn=<SmoothL1LossBackward0>)"
40,2776,46,20.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
41,2805,28,20.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
42,2850,44,10.0,"tensor(0.0031, grad_fn=<SmoothL1LossBackward0>)"
43,2872,21,10.0,"tensor(0.5906, grad_fn=<SmoothL1LossBackward0>)"
44,2930,57,20.0,"tensor(0.5904, grad_fn=<SmoothL1LossBackward0>)"
45,2957,26,0.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
46,2962,4,0.0,"tensor(0.5900, grad_fn=<SmoothL1LossBackward0>)"
47,2987,24,10.0,"tensor(0.5894, grad_fn=<SmoothL1LossBackward0>)"
48,3004,16,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
49,3012,7,0.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
50,3066,53,50.0,"tensor(0.8855, grad_fn=<SmoothL1LossBackward0>)"
51,3074,7,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
52,3109,34,10.0,"tensor(0.5892, grad_fn=<SmoothL1LossBackward0>)"
53,3134,24,10.0,"tensor(0.2953, grad_fn=<SmoothL1LossBackward0>)"
54,3178,43,20.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
55,3183,4,0.0,"tensor(0.8842, grad_fn=<SmoothL1LossBackward0>)"
56,3221,37,10.0,"tensor(0.5882, grad_fn=<SmoothL1LossBackward0>)"
57,3230,8,10.0,"tensor(0.0033, grad_fn=<SmoothL1LossBackward0>)"
58,3235,4,0.0,"tensor(0.5895, grad_fn=<SmoothL1LossBackward0>)"
59,3243,7,0.0,"tensor(0.5891, grad_fn=<SmoothL1LossBackward0>)"
60,3289,45,10.0,"tensor(0.0037, grad_fn=<SmoothL1LossBackward0>)"
61,3353,63,40.0,"tensor(0.5899, grad_fn=<SmoothL1LossBackward0>)"
62,3378,24,10.0,"tensor(0.2953, grad_fn=<SmoothL1LossBackward0>)"
63,3560,181,30.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
64,3583,22,0.0,"tensor(0.0030, grad_fn=<SmoothL1LossBackward0>)"
65,3622,38,10.0,"tensor(0.5888, grad_fn=<SmoothL1LossBackward0>)"
66,3649,26,20.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
67,3662,12,10.0,"tensor(0.5886, grad_fn=<SmoothL1LossBackward0>)"
68,3718,55,10.0,"tensor(0.2951, grad_fn=<SmoothL1LossBackward0>)"
69,3735,16,10.0,"tensor(0.8859, grad_fn=<SmoothL1LossBackward0>)"
70,3773,37,0.0,"tensor(0.2949, grad_fn=<SmoothL1LossBackward0>)"
71,3831,57,20.0,"tensor(0.2951, grad_fn=<SmoothL1LossBackward0>)"
72,3874,42,20.0,"tensor(0.0020, grad_fn=<SmoothL1LossBackward0>)"
73,3876,1,0.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
74,3905,28,10.0,"tensor(0.2947, grad_fn=<SmoothL1LossBackward0>)"
75,3932,26,20.0,"tensor(0.5889, grad_fn=<SmoothL1LossBackward0>)"
76,3990,57,30.0,"tensor(0.5897, grad_fn=<SmoothL1LossBackward0>)"
77,4005,14,10.0,"tensor(0.5894, grad_fn=<SmoothL1LossBackward0>)"
78,4022,16,0.0,"tensor(0.2941, grad_fn=<SmoothL1LossBackward0>)"
79,4065,42,20.0,"tensor(0.5876, grad_fn=<SmoothL1LossBackward0>)"
80,4331,265,80.0,"tensor(0.5893, grad_fn=<SmoothL1LossBackward0>)"
81,4343,11,0.0,"tensor(0.2937, grad_fn=<SmoothL1LossBackward0>)"
82,4345,1,0.0,"tensor(0.2972, grad_fn=<SmoothL1LossBackward0>)"
83,4353,7,0.0,"tensor(0.5887, grad_fn=<SmoothL1LossBackward0>)"
84,4403,49,20.0,"tensor(0.5889, grad_fn=<SmoothL1LossBackward0>)"
85,4429,25,10.0,"tensor(0.0031, grad_fn=<SmoothL1LossBackward0>)"
86,4493,63,20.0,"tensor(0.2977, grad_fn=<SmoothL1LossBackward0>)"
87,4686,192,30.0,"tensor(0.0032, grad_fn=<SmoothL1LossBackward0>)"
88,4724,37,10.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
89,4751,26,20.0,"tensor(0.5880, grad_fn=<SmoothL1LossBackward0>)"
90,4755,3,0.0,"tensor(0.2942, grad_fn=<SmoothL1LossBackward0>)"
91,4761,5,0.0,"tensor(0.2944, grad_fn=<SmoothL1LossBackward0>)"
92,4913,151,50.0,"tensor(0.2943, grad_fn=<SmoothL1LossBackward0>)"
93,4985,71,30.0,"tensor(0.0019, grad_fn=<SmoothL1LossBackward0>)"
94,4999,13,10.0,"tensor(0.0018, grad_fn=<SmoothL1LossBackward0>)"
95,5011,11,10.0,"tensor(0.5889, grad_fn=<SmoothL1LossBackward0>)"
96,5078,66,40.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
97,5199,120,70.0,"tensor(0.5899, grad_fn=<SmoothL1LossBackward0>)"
98,5209,9,0.0,"tensor(0.2939, grad_fn=<SmoothL1LossBackward0>)"
99,5229,19,0.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
100,5236,6,0.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
101,5241,4,0.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
102,5247,5,0.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
103,5273,25,10.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
104,5279,5,0.0,"tensor(0.5891, grad_fn=<SmoothL1LossBackward0>)"
105,5294,14,0.0,"tensor(0.2951, grad_fn=<SmoothL1LossBackward0>)"
106,5363,68,10.0,"tensor(0.2951, grad_fn=<SmoothL1LossBackward0>)"
107,5620,256,90.0,"tensor(0.2954, grad_fn=<SmoothL1LossBackward0>)"
108,5625,4,0.0,"tensor(0.2950, grad_fn=<SmoothL1LossBackward0>)"
109,5632,6,0.0,"tensor(0.2953, grad_fn=<SmoothL1LossBackward0>)"
110,5660,27,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
111,5668,7,0.0,"tensor(0.5886, grad_fn=<SmoothL1LossBackward0>)"
112,5705,36,0.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
113,5804,98,50.0,"tensor(0.2948, grad_fn=<SmoothL1LossBackward0>)"
114,5864,59,30.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
115,5868,3,0.0,"tensor(0.2953, grad_fn=<SmoothL1LossBackward0>)"
116,5876,7,0.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
117,5980,103,50.0,"tensor(0.2946, grad_fn=<SmoothL1LossBackward0>)"
118,6007,26,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
119,6012,4,0.0,"tensor(1.1783, grad_fn=<SmoothL1LossBackward0>)"
120,6044,31,10.0,"tensor(0.2943, grad_fn=<SmoothL1LossBackward0>)"
121,6049,4,0.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
122,6054,4,0.0,"tensor(0.5882, grad_fn=<SmoothL1LossBackward0>)"
123,6076,21,0.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
124,6102,25,10.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
