episode,steps_done,timestep,total_reward,loss
0,44,43,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
1,116,71,30.0,"tensor(0.2982, grad_fn=<SmoothL1LossBackward0>)"
2,275,158,50.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
3,306,30,10.0,"tensor(9.0624e-05, grad_fn=<SmoothL1LossBackward0>)"
4,336,29,30.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
5,379,42,30.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
6,479,99,20.0,"tensor(0.8898, grad_fn=<SmoothL1LossBackward0>)"
7,767,287,80.0,"tensor(0.0001, grad_fn=<SmoothL1LossBackward0>)"
8,824,56,20.0,"tensor(0.5926, grad_fn=<SmoothL1LossBackward0>)"
9,853,28,0.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
10,860,6,0.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
11,867,6,10.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
12,907,39,10.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
13,916,8,10.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
14,1056,139,50.0,"tensor(0.8865, grad_fn=<SmoothL1LossBackward0>)"
15,1074,17,20.0,"tensor(0.8893, grad_fn=<SmoothL1LossBackward0>)"
16,1106,31,30.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
17,1143,36,10.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
18,1301,157,50.0,"tensor(0.5932, grad_fn=<SmoothL1LossBackward0>)"
19,1307,5,0.0,"tensor(0.8867, grad_fn=<SmoothL1LossBackward0>)"
20,1390,82,50.0,"tensor(0.2980, grad_fn=<SmoothL1LossBackward0>)"
21,1392,1,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
22,1399,6,0.0,"tensor(0.5921, grad_fn=<SmoothL1LossBackward0>)"
23,1548,148,30.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
24,1598,49,30.0,"tensor(0.5909, grad_fn=<SmoothL1LossBackward0>)"
25,1753,154,60.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
26,1780,26,30.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
27,1970,189,40.0,"tensor(0.8873, grad_fn=<SmoothL1LossBackward0>)"
28,1995,24,20.0,"tensor(0.5925, grad_fn=<SmoothL1LossBackward0>)"
29,2045,49,20.0,"tensor(0.8874, grad_fn=<SmoothL1LossBackward0>)"
30,2130,84,40.0,"tensor(0.5944, grad_fn=<SmoothL1LossBackward0>)"
31,2159,28,10.0,"tensor(1.4747, grad_fn=<SmoothL1LossBackward0>)"
32,2210,50,30.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
33,2259,48,20.0,"tensor(0.2983, grad_fn=<SmoothL1LossBackward0>)"
34,2264,4,0.0,"tensor(0.2976, grad_fn=<SmoothL1LossBackward0>)"
35,2270,5,10.0,"tensor(0.8843, grad_fn=<SmoothL1LossBackward0>)"
36,2327,56,30.0,"tensor(0.0030, grad_fn=<SmoothL1LossBackward0>)"
37,2356,28,0.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
38,2371,14,0.0,"tensor(0.0025, grad_fn=<SmoothL1LossBackward0>)"
39,2377,5,0.0,"tensor(0.2982, grad_fn=<SmoothL1LossBackward0>)"
40,2395,17,10.0,"tensor(0.5902, grad_fn=<SmoothL1LossBackward0>)"
41,2401,5,0.0,"tensor(0.2983, grad_fn=<SmoothL1LossBackward0>)"
42,2424,22,0.0,"tensor(0.0018, grad_fn=<SmoothL1LossBackward0>)"
43,2572,147,80.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
44,2619,46,20.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
45,2671,51,20.0,"tensor(0.2984, grad_fn=<SmoothL1LossBackward0>)"
46,2677,5,0.0,"tensor(0.5913, grad_fn=<SmoothL1LossBackward0>)"
47,2688,10,10.0,"tensor(0.8873, grad_fn=<SmoothL1LossBackward0>)"
48,2698,9,0.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
49,2726,27,10.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
50,2736,9,10.0,"tensor(0.2975, grad_fn=<SmoothL1LossBackward0>)"
51,2747,10,0.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
